"Date of Landing","Lot_ID","Product_Desc","Quantity","Harvesting_Details","Lot_ID_Desc","Outbreak"
"2023-01-10",9206,"COLOSSAL LUMP crab Meat",744,"Aldred Pond","LOT9206 2023-01-10 Aldred Pond","yes"
"2022-06-25",2026,"Lobster",242,"Scout high point fishing","LOT2026 2022-06-25 Scout high point fishing","no"
"2022-12-02",593,"Shrimp",141,"Outshore Fishing Area","LOT593 2022-12-02 Outshore Fishing Area","no"
"2022-10-11",7017,"Jumbo Lump Crab MEat",591,"Windmill Pond","LOT7017 2022-10-11 Windmill Pond","yes"
"2022-12-10",5498,"Frog_fish",485,"Beaverdam Creek","LOT5498 2022-12-10 Beaverdam Creek","no"
"2023-03-04",5268,"Frog_fish",469,"Beaverdam Creek","LOT5268 2023-03-04 Beaverdam Creek","no"
"2022-03-27",8974,"COLOSSAL LUMP crab Meat",728,"Aldred Pond","LOT8974 2022-03-27 Aldred Pond","yes"
"2022-02-09",6568,"Red_Snaper_Fish",560,"Horsepen Pond","LOT6568 2022-02-09 Horsepen Pond","no"
"2022-10-24",2869,"White_Fish",301,"Feild Point Fishing","LOT2869 2022-10-24 Feild Point Fishing","no"
"2021-10-21",4107,"Ballon_Fish",387,"DragonFLy Park","LOT4107 2021-10-21 DragonFLy Park","no"
"2021-11-23",6033,"Gold Fish",522,"Bullfrog Fishing Hole","LOT6033 2021-11-23 Bullfrog Fishing Hole","no"
"2022-03-22",6717,"Red_Snaper_Fish",570,"Horsepen Pond","LOT6717 2022-03-22 Horsepen Pond","no"
"2022-12-26",4087,"Ballon_Fish",386,"DragonFLy Park","LOT4087 2022-12-26 DragonFLy Park","no"
"2022-06-15",9485,"Item",764,"Tippecanoe Lake","LOT9485 2022-06-15 Tippecanoe Lake","yes"
"2022-06-14",9947,"Item",796,"Tippecanoe Lake","LOT9947 2022-06-14 Tippecanoe Lake","yes"
"2022-04-05",6246,"Gold Fish",537,"Bullfrog Fishing Hole","LOT6246 2022-04-05 Bullfrog Fishing Hole","no"
"2022-02-08",4387,"Cat_Fish",407,"Quail Ridge Lake Access","LOT4387 2022-02-08 Quail Ridge Lake Access","no"
"2022-03-22",3531,"Angel_Fish",347,"Lake Birchwood","LOT3531 2022-03-22 Lake Birchwood","no"
"2022-04-12",8349,"Cocktail Claws Carb Meat",684,"Fishing Pier","LOT8349 2022-04-12 Fishing Pier","yes"
"2021-11-21",4883,"File_Fish",442,"Quail Ridge Lake Access","LOT4883 2021-11-21 Quail Ridge Lake Access","no"
"2022-03-18",2492,"Tuna",274,"Scout high point fishing","LOT2492 2022-03-18 Scout high point fishing","no"
"2021-12-04",8589,"Claws Crab Meat",701,"Fishing Pier","LOT8589 2021-12-04 Fishing Pier","yes"
"2022-08-14",6249,"Gold Fish",537,"Bullfrog Fishing Hole","LOT6249 2022-08-14 Bullfrog Fishing Hole","no"
"2023-01-01",3757,"Ballon_Fish",363,"DragonFLy Park","LOT3757 2023-01-01 DragonFLy Park","no"
"2022-11-06",8165,"Cocktail Claws Carb Meat",672,"Fishing Pier","LOT8165 2022-11-06 Fishing Pier","yes"
"2022-06-02",5984,"Gold Fish",519,"Bullfrog Fishing Hole","LOT5984 2022-06-02 Bullfrog Fishing Hole","no"
"2022-02-27",1089,"Crab or Crab Meat",176,"Pond Area Fishing","LOT1089 2022-02-27 Pond Area Fishing","no"
"2021-08-10",7982,"Cocktail Claws Carb Meat",659,"Silver Lake Regional Park","LOT7982 2021-08-10 Silver Lake Regional Park","yes"
"2023-03-28",2319,"Tuna",262,"Scout high point fishing","LOT2319 2023-03-28 Scout high point fishing","no"
"2022-01-19",4410,"Cat_Fish",409,"Quail Ridge Lake Access","LOT4410 2022-01-19 Quail Ridge Lake Access","no"
"2023-01-13",7518,"Lump Crab Meat",626,"Silver Lake Regional Park","LOT7518 2023-01-13 Silver Lake Regional Park","yes"
"2022-06-19",7460,"Lump Crab Meat",622,"Windmill Pond","LOT7460 2022-06-19 Windmill Pond","yes"
"2022-01-05",3323,"Angel_Fish",333,"Lake Birchwood","LOT3323 2022-01-05 Lake Birchwood","no"
"2022-03-16",7822,"Lump Crab Meat",647,"Silver Lake Regional Park","LOT7822 2022-03-16 Silver Lake Regional Park","yes"
"2023-03-24",2335,"Tuna",263,"Scout high point fishing","LOT2335 2023-03-24 Scout high point fishing","no"
"2021-12-08",8356,"Cocktail Claws Carb Meat",685,"Fishing Pier","LOT8356 2021-12-08 Fishing Pier","yes"
"2022-04-22",3691,"Ballon_Fish",358,"Lake Birchwood","LOT3691 2022-04-22 Lake Birchwood","no"
"2021-09-20",7913,"Cocktail Claws Carb Meat",654,"Silver Lake Regional Park","LOT7913 2021-09-20 Silver Lake Regional Park","yes"
"2022-05-28",5653,"Frog_fish",496,"Bullfrog Fishing Hole","LOT5653 2022-05-28 Bullfrog Fishing Hole","no"
"2022-04-03",4324,"Cat_Fish",403,"DragonFLy Park","LOT4324 2022-04-03 DragonFLy Park","no"
"2022-01-10",4549,"Cat_Fish",418,"Quail Ridge Lake Access","LOT4549 2022-01-10 Quail Ridge Lake Access","no"
"2021-09-05",6844,"Jumbo Lump Crab MEat",579,"Horsepen Pond","LOT6844 2021-09-05 Horsepen Pond","no"
"2022-03-27",7815,"Lump Crab Meat",647,"Silver Lake Regional Park","LOT7815 2022-03-27 Silver Lake Regional Park","yes"
"2022-01-25",3529,"Angel_Fish",347,"Lake Birchwood","LOT3529 2022-01-25 Lake Birchwood","no"
"2021-12-17",1467,"Crab or Crab Meat",203,"Camp Area Fishing","LOT1467 2021-12-17 Camp Area Fishing","no"
"2023-02-14",1738,"Lobster",222,"Camp Area Fishing","LOT1738 2023-02-14 Camp Area Fishing","no"
"2022-06-16",2822,"White_Fish",297,"Feild Point Fishing","LOT2822 2022-06-16 Feild Point Fishing","no"
"2022-11-03",4803,"File_Fish",436,"Quail Ridge Lake Access","LOT4803 2022-11-03 Quail Ridge Lake Access","no"
"2021-08-24",4079,"Ballon_Fish",386,"DragonFLy Park","LOT4079 2021-08-24 DragonFLy Park","no"
"2023-02-16",3649,"Angel_Fish",355,"Lake Birchwood","LOT3649 2023-02-16 Lake Birchwood","no"
"2022-01-01",8123,"Cocktail Claws Carb Meat",669,"Silver Lake Regional Park","LOT8123 2022-01-01 Silver Lake Regional Park","yes"
"2022-03-01",3839,"Ballon_Fish",369,"DragonFLy Park","LOT3839 2022-03-01 DragonFLy Park","no"
"2022-03-13",3701,"Ballon_Fish",359,"Lake Birchwood","LOT3701 2022-03-13 Lake Birchwood","no"
"2023-02-09",211,"Salmon",115,"Outshore Fishing Area","LOT211 2023-02-09 Outshore Fishing Area","no"
"2022-11-22",7514,"Lump Crab Meat",626,"Silver Lake Regional Park","LOT7514 2022-11-22 Silver Lake Regional Park","yes"
"2023-01-03",8235,"Cocktail Claws Carb Meat",676,"Fishing Pier","LOT8235 2023-01-03 Fishing Pier","yes"
"2022-07-20",7664,"Lump Crab Meat",636,"Silver Lake Regional Park","LOT7664 2022-07-20 Silver Lake Regional Park","yes"
"2022-07-27",2964,"White_Fish",307,"Feild Point Fishing","LOT2964 2022-07-27 Feild Point Fishing","no"
"2023-03-26",8535,"Claws Crab Meat",697,"Fishing Pier","LOT8535 2023-03-26 Fishing Pier","yes"
"2022-07-30",8429,"Claws Crab Meat",690,"Fishing Pier","LOT8429 2022-07-30 Fishing Pier","yes"
"2021-12-30",6451,"Red_Snaper_Fish",552,"Horsepen Pond","LOT6451 2021-12-30 Horsepen Pond","no"
"2023-02-15",7484,"Lump Crab Meat",624,"Windmill Pond","LOT7484 2023-02-15 Windmill Pond","yes"
"2021-11-09",8358,"Cocktail Claws Carb Meat",685,"Fishing Pier","LOT8358 2021-11-09 Fishing Pier","yes"
"2023-01-18",55,"Salmon",104,"Outshore Fishing Area","LOT55 2023-01-18 Outshore Fishing Area","no"
"2021-08-04",9875,"Item",791,"Tippecanoe Lake","LOT9875 2021-08-04 Tippecanoe Lake","yes"
"2022-08-15",6885,"Jumbo Lump Crab MEat",582,"Windmill Pond","LOT6885 2022-08-15 Windmill Pond","no"
"2022-07-04",2377,"Tuna",266,"Scout high point fishing","LOT2377 2022-07-04 Scout high point fishing","no"
"2022-03-02",2127,"Tuna",249,"Scout high point fishing","LOT2127 2022-03-02 Scout high point fishing","no"
"2023-03-01",1542,"Crab or Crab Meat",208,"Camp Area Fishing","LOT1542 2023-03-01 Camp Area Fishing","no"
"2022-07-11",6972,"Jumbo Lump Crab MEat",588,"Windmill Pond","LOT6972 2022-07-11 Windmill Pond","no"
"2021-07-29",7924,"Cocktail Claws Carb Meat",655,"Silver Lake Regional Park","LOT7924 2021-07-29 Silver Lake Regional Park","yes"
"2022-01-07",4596,"Cat_Fish",422,"Quail Ridge Lake Access","LOT4596 2022-01-07 Quail Ridge Lake Access","no"
"2021-10-05",6592,"Red_Snaper_Fish",561,"Horsepen Pond","LOT6592 2021-10-05 Horsepen Pond","no"
"2023-01-20",4428,"Cat_Fish",410,"Quail Ridge Lake Access","LOT4428 2023-01-20 Quail Ridge Lake Access","no"
"2022-06-23",1448,"Crab or Crab Meat",201,"Camp Area Fishing","LOT1448 2022-06-23 Camp Area Fishing","no"
"2022-01-26",8255,"Cocktail Claws Carb Meat",678,"Fishing Pier","LOT8255 2022-01-26 Fishing Pier","yes"
"2022-06-14",6371,"Red_Snaper_Fish",546,"Horsepen Pond","LOT6371 2022-06-14 Horsepen Pond","no"
"2022-09-15",7741,"Lump Crab Meat",642,"Silver Lake Regional Park","LOT7741 2022-09-15 Silver Lake Regional Park","yes"
"2022-10-05",1249,"Crab or Crab Meat",187,"Pond Area Fishing","LOT1249 2022-10-05 Pond Area Fishing","no"
"2021-12-25",9806,"Item",786,"Tippecanoe Lake","LOT9806 2021-12-25 Tippecanoe Lake","yes"
"2021-07-30",5035,"File_Fish",452,"Beaverdam Creek","LOT5035 2021-07-30 Beaverdam Creek","no"
"2021-11-16",4300,"Cat_Fish",401,"DragonFLy Park","LOT4300 2021-11-16 DragonFLy Park","no"
"2021-12-23",9456,"COLOSSAL LUMP crab Meat",762,"Tippecanoe Lake","LOT9456 2021-12-23 Tippecanoe Lake","yes"
"2021-08-24",4925,"File_Fish",445,"Quail Ridge Lake Access","LOT4925 2021-08-24 Quail Ridge Lake Access","no"
"2021-10-12",7380,"Lump Crab Meat",617,"Windmill Pond","LOT7380 2021-10-12 Windmill Pond","yes"
"2022-07-03",6031,"Gold Fish",522,"Bullfrog Fishing Hole","LOT6031 2022-07-03 Bullfrog Fishing Hole","no"
"2022-02-21",6302,"Gold Fish",541,"Horsepen Pond","LOT6302 2022-02-21 Horsepen Pond","no"
"2022-09-18",2617,"Tuna",283,"Feild Point Fishing","LOT2617 2022-09-18 Feild Point Fishing","no"
"2021-09-23",4189,"Ballon_Fish",393,"DragonFLy Park","LOT4189 2021-09-23 DragonFLy Park","no"
"2023-03-02",328,"Salmon",123,"Outshore Fishing Area","LOT328 2023-03-02 Outshore Fishing Area","no"
"2021-07-31",6947,"Jumbo Lump Crab MEat",586,"Windmill Pond","LOT6947 2021-07-31 Windmill Pond","no"
"2022-07-24",4825,"File_Fish",438,"Quail Ridge Lake Access","LOT4825 2022-07-24 Quail Ridge Lake Access","no"
"2022-12-08",1266,"Crab or Crab Meat",189,"Camp Area Fishing","LOT1266 2022-12-08 Camp Area Fishing","no"
"2021-11-07",2554,"Tuna",279,"Feild Point Fishing","LOT2554 2021-11-07 Feild Point Fishing","no"
"2022-06-24",6126,"Gold Fish",529,"Bullfrog Fishing Hole","LOT6126 2022-06-24 Bullfrog Fishing Hole","no"
"2021-11-26",6299,"Gold Fish",541,"Horsepen Pond","LOT6299 2021-11-26 Horsepen Pond","no"
"2022-08-01",967,"Shrimp",168,"Pond Area Fishing","LOT967 2022-08-01 Pond Area Fishing","no"
"2022-08-01",1427,"Crab or Crab Meat",200,"Camp Area Fishing","LOT1427 2022-08-01 Camp Area Fishing","no"
"2023-02-03",8705,"Claws Crab Meat",709,"Fishing Pier","LOT8705 2023-02-03 Fishing Pier","yes"
"2023-02-20",1079,"Crab or Crab Meat",175,"Pond Area Fishing","LOT1079 2023-02-20 Pond Area Fishing","no"
"2021-12-28",558,"Shrimp",139,"Outshore Fishing Area","LOT558 2021-12-28 Outshore Fishing Area","no"
"2022-04-25",8746,"Claws Crab Meat",712,"Fishing Pier","LOT8746 2022-04-25 Fishing Pier","yes"
"2023-01-27",4869,"File_Fish",441,"Quail Ridge Lake Access","LOT4869 2023-01-27 Quail Ridge Lake Access","no"
"2022-04-05",3568,"Angel_Fish",350,"Lake Birchwood","LOT3568 2022-04-05 Lake Birchwood","no"
"2022-07-20",9967,"Item",798,"Tippecanoe Lake","LOT9967 2022-07-20 Tippecanoe Lake","yes"
"2022-12-23",555,"Shrimp",139,"Outshore Fishing Area","LOT555 2022-12-23 Outshore Fishing Area","no"
"2022-03-19",7107,"Jumbo Lump Crab MEat",597,"Windmill Pond","LOT7107 2022-03-19 Windmill Pond","yes"
"2022-05-31",4175,"Ballon_Fish",392,"DragonFLy Park","LOT4175 2022-05-31 DragonFLy Park","no"
"2022-08-09",2654,"White_Fish",286,"Feild Point Fishing","LOT2654 2022-08-09 Feild Point Fishing","no"
"2022-04-10",7644,"Lump Crab Meat",635,"Silver Lake Regional Park","LOT7644 2022-04-10 Silver Lake Regional Park","yes"
"2021-08-30",2444,"Tuna",271,"Scout high point fishing","LOT2444 2021-08-30 Scout high point fishing","no"
"2022-04-29",1735,"Lobster",221,"Camp Area Fishing","LOT1735 2022-04-29 Camp Area Fishing","no"
"2021-11-25",7186,"Jumbo Lump Crab MEat",603,"Windmill Pond","LOT7186 2021-11-25 Windmill Pond","yes"
"2022-08-16",9537,"Item",768,"Tippecanoe Lake","LOT9537 2022-08-16 Tippecanoe Lake","yes"
"2021-12-05",7391,"Lump Crab Meat",617,"Windmill Pond","LOT7391 2021-12-05 Windmill Pond","yes"
"2022-04-16",7539,"Lump Crab Meat",628,"Silver Lake Regional Park","LOT7539 2022-04-16 Silver Lake Regional Park","yes"
"2022-07-28",3905,"Ballon_Fish",373,"DragonFLy Park","LOT3905 2022-07-28 DragonFLy Park","no"
"2022-12-13",7525,"Lump Crab Meat",627,"Silver Lake Regional Park","LOT7525 2022-12-13 Silver Lake Regional Park","yes"
"2022-10-29",5037,"File_Fish",453,"Beaverdam Creek","LOT5037 2022-10-29 Beaverdam Creek","no"
"2021-10-02",8698,"Claws Crab Meat",709,"Fishing Pier","LOT8698 2021-10-02 Fishing Pier","yes"
"2021-10-18",513,"Salmon",136,"Outshore Fishing Area","LOT513 2021-10-18 Outshore Fishing Area","no"
"2022-11-17",9201,"COLOSSAL LUMP crab Meat",744,"Aldred Pond","LOT9201 2022-11-17 Aldred Pond","yes"
"2022-02-17",3334,"Angel_Fish",333,"Lake Birchwood","LOT3334 2022-02-17 Lake Birchwood","no"
"2022-11-28",1764,"Lobster",223,"Camp Area Fishing","LOT1764 2022-11-28 Camp Area Fishing","no"
"2021-08-11",2873,"White_Fish",301,"Feild Point Fishing","LOT2873 2021-08-11 Feild Point Fishing","no"
"2022-09-26",9000,"COLOSSAL LUMP crab Meat",730,"Aldred Pond","LOT9000 2022-09-26 Aldred Pond","yes"
"2022-04-11",1196,"Crab or Crab Meat",184,"Pond Area Fishing","LOT1196 2022-04-11 Pond Area Fishing","no"
"2021-11-17",1061,"Crab or Crab Meat",174,"Pond Area Fishing","LOT1061 2021-11-17 Pond Area Fishing","no"
"2022-03-16",2385,"Tuna",267,"Scout high point fishing","LOT2385 2022-03-16 Scout high point fishing","no"
"2022-02-19",6717,"Red_Snaper_Fish",570,"Horsepen Pond","LOT6717 2022-02-19 Horsepen Pond","no"
"2021-10-05",4306,"Cat_Fish",401,"DragonFLy Park","LOT4306 2021-10-05 DragonFLy Park","no"
"2022-06-12",51,"Salmon",103,"Outshore Fishing Area","LOT51 2022-06-12 Outshore Fishing Area","no"
"2021-07-25",9342,"COLOSSAL LUMP crab Meat",754,"Aldred Pond","LOT9342 2021-07-25 Aldred Pond","yes"
"2022-09-29",8711,"Claws Crab Meat",710,"Fishing Pier","LOT8711 2022-09-29 Fishing Pier","yes"
"2022-04-24",5713,"Frog_fish",500,"Bullfrog Fishing Hole","LOT5713 2022-04-24 Bullfrog Fishing Hole","no"
"2021-09-14",8145,"Cocktail Claws Carb Meat",670,"Fishing Pier","LOT8145 2021-09-14 Fishing Pier","yes"
"2022-01-25",2440,"Tuna",271,"Scout high point fishing","LOT2440 2022-01-25 Scout high point fishing","no"
"2022-01-02",4563,"Cat_Fish",419,"Quail Ridge Lake Access","LOT4563 2022-01-02 Quail Ridge Lake Access","no"
"2023-01-28",7175,"Jumbo Lump Crab MEat",602,"Windmill Pond","LOT7175 2023-01-28 Windmill Pond","yes"
"2022-07-01",9896,"Item",793,"Tippecanoe Lake","LOT9896 2022-07-01 Tippecanoe Lake","yes"
"2022-12-24",8199,"Cocktail Claws Carb Meat",674,"Fishing Pier","LOT8199 2022-12-24 Fishing Pier","yes"
"2021-11-28",5301,"Frog_fish",471,"Beaverdam Creek","LOT5301 2021-11-28 Beaverdam Creek","no"
"2022-05-14",6052,"Gold Fish",524,"Bullfrog Fishing Hole","LOT6052 2022-05-14 Bullfrog Fishing Hole","no"
"2022-05-12",8239,"Cocktail Claws Carb Meat",677,"Fishing Pier","LOT8239 2022-05-12 Fishing Pier","yes"
"2023-02-17",522,"Salmon",136,"Outshore Fishing Area","LOT522 2023-02-17 Outshore Fishing Area","no"
"2021-12-03",8040,"Cocktail Claws Carb Meat",663,"Silver Lake Regional Park","LOT8040 2021-12-03 Silver Lake Regional Park","yes"
"2021-09-28",9044,"COLOSSAL LUMP crab Meat",733,"Aldred Pond","LOT9044 2021-09-28 Aldred Pond","yes"
"2022-08-21",8565,"Claws Crab Meat",700,"Fishing Pier","LOT8565 2022-08-21 Fishing Pier","yes"
"2022-07-09",9775,"Item",784,"Tippecanoe Lake","LOT9775 2022-07-09 Tippecanoe Lake","yes"
"2023-02-19",5814,"Gold Fish",507,"Bullfrog Fishing Hole","LOT5814 2023-02-19 Bullfrog Fishing Hole","no"
"2022-03-30",8516,"Claws Crab Meat",696,"Fishing Pier","LOT8516 2022-03-30 Fishing Pier","yes"
"2022-03-21",5804,"Gold Fish",506,"Bullfrog Fishing Hole","LOT5804 2022-03-21 Bullfrog Fishing Hole","no"
"2022-09-12",2888,"White_Fish",302,"Feild Point Fishing","LOT2888 2022-09-12 Feild Point Fishing","no"
"2022-08-05",734,"Shrimp",151,"Pond Area Fishing","LOT734 2022-08-05 Pond Area Fishing","no"
"2022-03-07",9299,"COLOSSAL LUMP crab Meat",751,"Aldred Pond","LOT9299 2022-03-07 Aldred Pond","yes"
"2022-09-10",2382,"Tuna",267,"Scout high point fishing","LOT2382 2022-09-10 Scout high point fishing","no"
"2021-08-11",760,"Shrimp",153,"Pond Area Fishing","LOT760 2021-08-11 Pond Area Fishing","no"
"2022-05-02",3202,"Angel_Fish",324,"Lake Birchwood","LOT3202 2022-05-02 Lake Birchwood","no"
"2021-10-14",3911,"Ballon_Fish",374,"DragonFLy Park","LOT3911 2021-10-14 DragonFLy Park","no"
"2022-06-23",988,"Shrimp",169,"Pond Area Fishing","LOT988 2022-06-23 Pond Area Fishing","no"
"2022-09-11",6973,"Jumbo Lump Crab MEat",588,"Windmill Pond","LOT6973 2022-09-11 Windmill Pond","no"
"2021-10-25",9847,"Item",789,"Tippecanoe Lake","LOT9847 2021-10-25 Tippecanoe Lake","yes"
"2021-11-17",1933,"Lobster",235,"Scout high point fishing","LOT1933 2021-11-17 Scout high point fishing","no"
"2021-09-01",2388,"Tuna",267,"Scout high point fishing","LOT2388 2021-09-01 Scout high point fishing","no"
"2022-08-13",2275,"Tuna",259,"Scout high point fishing","LOT2275 2022-08-13 Scout high point fishing","no"
"2021-12-24",8091,"Cocktail Claws Carb Meat",666,"Silver Lake Regional Park","LOT8091 2021-12-24 Silver Lake Regional Park","yes"
"2023-02-23",4911,"File_Fish",444,"Quail Ridge Lake Access","LOT4911 2023-02-23 Quail Ridge Lake Access","no"
"2022-02-11",5188,"File_Fish",463,"Beaverdam Creek","LOT5188 2022-02-11 Beaverdam Creek","no"
"2023-03-12",2560,"Tuna",279,"Feild Point Fishing","LOT2560 2023-03-12 Feild Point Fishing","no"
"2021-07-13",5817,"Gold Fish",507,"Bullfrog Fishing Hole","LOT5817 2021-07-13 Bullfrog Fishing Hole","no"
"2022-08-23",1637,"Lobster",215,"Camp Area Fishing","LOT1637 2022-08-23 Camp Area Fishing","no"
"2021-12-06",1407,"Crab or Crab Meat",198,"Camp Area Fishing","LOT1407 2021-12-06 Camp Area Fishing","no"
"2022-11-26",4232,"Cat_Fish",396,"DragonFLy Park","LOT4232 2022-11-26 DragonFLy Park","no"
"2022-08-17",472,"Salmon",133,"Outshore Fishing Area","LOT472 2022-08-17 Outshore Fishing Area","no"
"2022-01-04",9861,"Item",790,"Tippecanoe Lake","LOT9861 2022-01-04 Tippecanoe Lake","yes"
"2022-07-16",8994,"COLOSSAL LUMP crab Meat",730,"Aldred Pond","LOT8994 2022-07-16 Aldred Pond","yes"
"2022-06-27",9706,"Item",779,"Tippecanoe Lake","LOT9706 2022-06-27 Tippecanoe Lake","yes"
"2022-08-07",3125,"White_Fish",319,"Feild Point Fishing","LOT3125 2022-08-07 Feild Point Fishing","no"
"2021-10-29",9628,"Item",774,"Tippecanoe Lake","LOT9628 2021-10-29 Tippecanoe Lake","yes"
"2021-08-03",40,"Salmon",103,"Outshore Fishing Area","LOT40 2021-08-03 Outshore Fishing Area","no"
"2021-10-30",7547,"Lump Crab Meat",628,"Silver Lake Regional Park","LOT7547 2021-10-30 Silver Lake Regional Park","yes"
"2021-08-02",9488,"Item",764,"Tippecanoe Lake","LOT9488 2021-08-02 Tippecanoe Lake","yes"
"2022-06-30",250,"Salmon",117,"Outshore Fishing Area","LOT250 2022-06-30 Outshore Fishing Area","no"
"2022-09-19",1260,"Crab or Crab Meat",188,"Camp Area Fishing","LOT1260 2022-09-19 Camp Area Fishing","no"
"2021-11-17",6290,"Gold Fish",540,"Horsepen Pond","LOT6290 2021-11-17 Horsepen Pond","no"
"2022-11-19",1725,"Lobster",221,"Camp Area Fishing","LOT1725 2022-11-19 Camp Area Fishing","no"
"2022-01-15",7686,"Lump Crab Meat",638,"Silver Lake Regional Park","LOT7686 2022-01-15 Silver Lake Regional Park","yes"
"2022-12-07",1649,"Lobster",215,"Camp Area Fishing","LOT1649 2022-12-07 Camp Area Fishing","no"
"2022-03-15",8338,"Cocktail Claws Carb Meat",684,"Fishing Pier","LOT8338 2022-03-15 Fishing Pier","yes"
"2023-03-20",1977,"Lobster",238,"Scout high point fishing","LOT1977 2023-03-20 Scout high point fishing","no"
"2022-05-13",1559,"Crab or Crab Meat",209,"Camp Area Fishing","LOT1559 2022-05-13 Camp Area Fishing","no"
"2021-11-07",619,"Shrimp",143,"Outshore Fishing Area","LOT619 2021-11-07 Outshore Fishing Area","no"
"2022-09-23",501,"Salmon",135,"Outshore Fishing Area","LOT501 2022-09-23 Outshore Fishing Area","no"
"2022-03-30",988,"Shrimp",169,"Pond Area Fishing","LOT988 2022-03-30 Pond Area Fishing","no"
"2022-07-14",1384,"Crab or Crab Meat",197,"Camp Area Fishing","LOT1384 2022-07-14 Camp Area Fishing","no"
"2022-06-28",8856,"Claws Crab Meat",720,"Aldred Pond","LOT8856 2022-06-28 Aldred Pond","yes"
"2022-04-07",695,"Shrimp",149,"Pond Area Fishing","LOT695 2022-04-07 Pond Area Fishing","no"
"2022-02-25",2926,"White_Fish",305,"Feild Point Fishing","LOT2926 2022-02-25 Feild Point Fishing","no"
"2022-09-05",9736,"Item",782,"Tippecanoe Lake","LOT9736 2022-09-05 Tippecanoe Lake","yes"
"2023-02-02",3235,"Angel_Fish",326,"Lake Birchwood","LOT3235 2023-02-02 Lake Birchwood","no"
"2021-10-10",6162,"Gold Fish",531,"Bullfrog Fishing Hole","LOT6162 2021-10-10 Bullfrog Fishing Hole","no"
"2022-12-14",590,"Shrimp",141,"Outshore Fishing Area","LOT590 2022-12-14 Outshore Fishing Area","no"
"2022-03-10",5983,"Gold Fish",519,"Bullfrog Fishing Hole","LOT5983 2022-03-10 Bullfrog Fishing Hole","no"
"2022-01-07",6605,"Red_Snaper_Fish",562,"Horsepen Pond","LOT6605 2022-01-07 Horsepen Pond","no"
"2022-04-01",7121,"Jumbo Lump Crab MEat",598,"Windmill Pond","LOT7121 2022-04-01 Windmill Pond","yes"
"2022-05-06",3521,"Angel_Fish",346,"Lake Birchwood","LOT3521 2022-05-06 Lake Birchwood","no"
"2022-12-05",8017,"Cocktail Claws Carb Meat",661,"Silver Lake Regional Park","LOT8017 2022-12-05 Silver Lake Regional Park","yes"
"2022-09-12",3055,"White_Fish",314,"Feild Point Fishing","LOT3055 2022-09-12 Feild Point Fishing","no"
"2021-10-31",1204,"Crab or Crab Meat",184,"Pond Area Fishing","LOT1204 2021-10-31 Pond Area Fishing","no"
"2021-09-06",5256,"File_Fish",468,"Beaverdam Creek","LOT5256 2021-09-06 Beaverdam Creek","no"
"2022-10-26",975,"Shrimp",168,"Pond Area Fishing","LOT975 2022-10-26 Pond Area Fishing","no"
"2022-08-04",9310,"COLOSSAL LUMP crab Meat",752,"Aldred Pond","LOT9310 2022-08-04 Aldred Pond","yes"
"2022-06-16",8263,"Cocktail Claws Carb Meat",678,"Fishing Pier","LOT8263 2022-06-16 Fishing Pier","yes"
"2022-05-10",4934,"File_Fish",445,"Quail Ridge Lake Access","LOT4934 2022-05-10 Quail Ridge Lake Access","no"
"2023-02-16",1298,"Crab or Crab Meat",191,"Camp Area Fishing","LOT1298 2023-02-16 Camp Area Fishing","no"
"2021-08-06",3372,"Angel_Fish",336,"Lake Birchwood","LOT3372 2021-08-06 Lake Birchwood","no"
"2022-12-08",2160,"Tuna",251,"Scout high point fishing","LOT2160 2022-12-08 Scout high point fishing","no"
"2022-04-09",2768,"White_Fish",294,"Feild Point Fishing","LOT2768 2022-04-09 Feild Point Fishing","no"
"2022-08-18",1734,"Lobster",221,"Camp Area Fishing","LOT1734 2022-08-18 Camp Area Fishing","no"
"2021-09-11",2156,"Tuna",251,"Scout high point fishing","LOT2156 2021-09-11 Scout high point fishing","no"
"2023-03-27",6010,"Gold Fish",521,"Bullfrog Fishing Hole","LOT6010 2023-03-27 Bullfrog Fishing Hole","no"
"2022-07-17",8532,"Claws Crab Meat",697,"Fishing Pier","LOT8532 2022-07-17 Fishing Pier","yes"
"2022-03-22",7820,"Lump Crab Meat",647,"Silver Lake Regional Park","LOT7820 2022-03-22 Silver Lake Regional Park","yes"
"2022-10-09",985,"Shrimp",169,"Pond Area Fishing","LOT985 2022-10-09 Pond Area Fishing","no"
"2022-06-22",29,"Salmon",102,"Outshore Fishing Area","LOT29 2022-06-22 Outshore Fishing Area","no"
"2022-08-02",7147,"Jumbo Lump Crab MEat",600,"Windmill Pond","LOT7147 2022-08-02 Windmill Pond","yes"
"2022-09-29",9283,"COLOSSAL LUMP crab Meat",750,"Aldred Pond","LOT9283 2022-09-29 Aldred Pond","yes"
"2022-08-13",9058,"COLOSSAL LUMP crab Meat",734,"Aldred Pond","LOT9058 2022-08-13 Aldred Pond","yes"
"2022-11-05",6580,"Red_Snaper_Fish",561,"Horsepen Pond","LOT6580 2022-11-05 Horsepen Pond","no"
"2022-01-29",5649,"Frog_fish",495,"Bullfrog Fishing Hole","LOT5649 2022-01-29 Bullfrog Fishing Hole","no"
"2023-02-06",372,"Salmon",126,"Outshore Fishing Area","LOT372 2023-02-06 Outshore Fishing Area","no"
