"Date of Cooling","Location_ID","Lot_ID","Sprouts_receipt Date","Initial_Packing_Date","Subsequent_ID","Harvested_Date","IP_ID","Item_Type","Quantity","Harvesting_ID","Field_ID","Mobile_ID","Outbreak"
"R3415",100,"LOT3415 2021-12-28_100","2022-01-07","2022-01-08","3415","2021-12-28","IP3415","Onion Sprouts",775,1079,36,216,"no"
"R3416",86,"LOT3416 2021-09-23_86","2021-09-30","2021-09-30","3416","2021-09-23","IP3416","Soybean Sprouts",694,926,31,186,"no"
"R3417",72,"LOT3417 2022-07-25_72","2022-08-12","2022-08-13","3417","2022-07-25","IP3417","Mustard Sprouts",615,779,26,156,"no"
"R3418",97,"LOT3418 2021-12-22_97","2022-01-01","2022-01-02","3418","2021-12-22","IP3418","Onion Sprouts",758,1047,35,210,"no"
"R3419",69,"LOT3419 2021-11-14_69","2021-11-22","2021-11-23","3419","2021-11-14","IP3419","Pumpkin Seed Sprouts",598,748,25,150,"no"
"R3420",57,"LOT3420 2022-04-12_57","2022-04-26","2022-04-26","3420","2022-04-12","IP3420","Kidney-Bean Sprouts",526,612,21,123,"no"
"R3421",137,"LOT3421 2021-08-24_137","2021-08-29","2021-08-30","3421","2021-08-24","IP3421","Chickpeas Sprouts",994,1488,50,298,"yes"
"R3422",92,"LOT3422 2022-07-24_92","2022-08-12","2022-08-12","3422","2022-07-24","IP3422","Green Lentil Sprouts",734,1001,34,200,"no"
"R3423",109,"LOT3423 2023-02-19_109","2023-03-17","2023-03-18","3423","2023-02-19","IP3423","Sunflower Sprouts",832,1186,40,237,"no"
"R3424",34,"LOT3424 2022-09-11_34","2022-10-02","2022-10-02","3424","2022-09-11","IP3424","Radish Srpouts",392,361,13,73,"no"
"R3425",97,"LOT3425 2022-08-22_97","2022-09-11","2022-09-11","3425","2022-08-22","IP3425","Onion Sprouts",758,1046,35,210,"no"
"R3426",50,"LOT3426 2022-02-14_50","2022-02-26","2022-02-27","3426","2022-02-14","IP3426","Wheatgrass Sprouts",488,541,19,109,"no"
"R3427",115,"LOT3427 2023-01-08_115","2023-02-02","2023-02-02","3427","2023-01-08","IP3427","Pea Sprouts",866,1250,42,250,"no"
"R3428",8,"LOT3428 2022-04-20_8","2022-05-04","2022-05-04","3428","2022-04-20","IP3428","Alfalfa Sprouts",242,79,4,17,"no"
"R3429",134,"LOT3429 2021-08-19_134","2021-08-24","2021-08-25","3429","2021-08-19","IP3429","Chickpeas Sprouts",975,1453,48,291,"yes"
"R3430",113,"LOT3430 2022-08-21_113","2022-09-09","2022-09-09","3430","2022-08-21","IP3430","Pea Sprouts",852,1223,41,245,"no"
"R3431",50,"LOT3431 2022-12-09_50","2023-01-01","2023-01-02","3431","2022-12-09","IP3431","Wheatgrass Sprouts",486,537,19,108,"no"
"R3432",46,"LOT3432 2022-04-24_46","2022-05-08","2022-05-09","3432","2022-04-24","IP3432","Wheatgrass Sprouts",460,489,17,98,"no"
"R3433",124,"LOT3433 2022-05-28_124","2022-06-13","2022-06-13","3433","2022-05-28","IP3433","Seasame Sprouts",919,1348,45,270,"no"
"R3434",2,"LOT3434 2021-10-31_2","2021-11-07","2021-11-08","3434","2021-10-31","IP3434","Alfalfa Sprouts",207,14,1,4,"no"
"R3435",103,"LOT3435 2021-09-21_103","2021-09-27","2021-09-27","3435","2021-09-21","IP3435","Onion Sprouts",797,1119,38,224,"no"
"R3436",70,"LOT3436 2021-09-19_70","2021-09-25","2021-09-26","3436","2021-09-19","IP3436","Mustard Sprouts",605,760,26,152,"no"
"R3437",34,"LOT3437 2021-08-02_34","2021-08-06","2021-08-07","3437","2021-08-02","IP3437","Radish Srpouts",395,366,13,74,"no"
"R3438",112,"LOT3438 2022-05-09_112","2022-05-24","2022-05-25","3438","2022-05-09","IP3438","Sunflower Sprouts",846,1211,41,242,"no"
"R3439",45,"LOT3439 2022-08-27_45","2022-09-16","2022-09-16","3439","2022-08-27","IP3439","Wheatgrass Sprouts",457,482,17,97,"no"
"R3440",65,"LOT3440 2022-05-19_65","2022-06-04","2022-06-04","3440","2022-05-19","IP3440","Pumpkin Seed Sprouts",572,697,24,140,"no"
"R3441",82,"LOT3441 2022-04-06_82","2022-04-20","2022-04-20","3441","2022-04-06","IP3441","Soybean Sprouts",670,882,30,177,"no"
"R3442",64,"LOT3442 2022-10-15_64","2022-11-06","2022-11-06","3442","2022-10-15","IP3442","Pumpkin Seed Sprouts",566,687,23,138,"no"
"R3443",85,"LOT3443 2022-01-23_85","2022-02-03","2022-02-04","3443","2022-01-23","IP3443","Soybean Sprouts",690,919,31,184,"no"
"R3444",112,"LOT3444 2023-01-19_112","2023-02-13","2023-02-13","3444","2023-01-19","IP3444","Sunflower Sprouts",846,1211,41,242,"no"
"R3445",51,"LOT3445 2021-11-12_51","2021-11-20","2021-11-21","3445","2021-11-12","IP3445","Wheatgrass Sprouts",494,551,19,111,"no"
"R3446",75,"LOT3446 2021-12-28_75","2022-01-07","2022-01-07","3446","2021-12-28","IP3446","Mustard Sprouts",632,810,27,162,"no"
"R3447",25,"LOT3447 2022-02-18_25","2022-03-02","2022-03-03","3447","2022-02-18","IP3447","Red Clover Sprouts",341,266,10,54,"no"
"R3448",81,"LOT3448 2022-07-18_81","2022-08-05","2022-08-05","3448","2022-07-18","IP3448","Soybean Sprouts",669,879,30,176,"no"
"R3449",87,"LOT3449 2022-04-17_87","2022-05-01","2022-05-02","3449","2022-04-17","IP3449","Soybean Sprouts",700,937,32,188,"no"
"R3450",22,"LOT3450 2021-10-04_22","2021-10-11","2021-10-12","3450","2021-10-04","IP3450","Red Clover Sprouts",323,232,9,47,"no"
"R3451",77,"LOT3451 2022-10-22_77","2022-11-13","2022-11-13","3451","2022-10-22","IP3451","Mustard Sprouts",647,838,28,168,"no"
"R3452",23,"LOT3452 2023-02-02_23","2023-02-28","2023-02-28","3452","2023-02-02","IP3452","Red Clover Sprouts",331,246,9,50,"no"
"R3453",54,"LOT3453 2022-12-12_54","2023-01-04","2023-01-05","3453","2022-12-12","IP3453","Kidney-Bean Sprouts",510,582,20,117,"no"
"R3454",2,"LOT3454 2021-09-25_2","2021-10-02","2021-10-03","3454","2021-09-25","IP3454","Alfalfa Sprouts",206,12,1,3,"no"
"R3455",41,"LOT3455 2022-04-29_41","2022-05-14","2022-05-15","3455","2022-04-29","IP3455","Brocolli Sprouts",435,442,15,89,"no"
"R3456",110,"LOT3456 2023-02-22_110","2023-03-20","2023-03-21","3456","2023-02-22","IP3456","Sunflower Sprouts",836,1193,40,239,"no"
"R3457",52,"LOT3457 2022-02-27_52","2022-03-12","2022-03-12","3457","2022-02-27","IP3457","Kidney-Bean Sprouts",500,564,19,113,"no"
"R3458",133,"LOT3458 2022-08-23_133","2022-09-11","2022-09-12","3458","2022-08-23","IP3458","Chickpeas Sprouts",969,1442,48,288,"yes"
"R3459",59,"LOT3459 2022-08-16_59","2022-09-05","2022-09-05","3459","2022-08-16","IP3459","Kidney-Bean Sprouts",537,633,22,127,"no"
"R3460",107,"LOT3460 2021-08-04_107","2021-08-09","2021-08-10","3460","2021-08-04","IP3460","Sunflower Sprouts",822,1166,39,233,"no"
"R3461",48,"LOT3461 2022-11-09_48","2022-12-01","2022-12-01","3461","2022-11-09","IP3461","Wheatgrass Sprouts",475,516,18,104,"no"
"R3462",78,"LOT3462 2023-02-03_78","2023-03-01","2023-03-01","3462","2023-02-03","IP3462","Soybean Sprouts",652,849,29,170,"no"
"R3463",115,"LOT3463 2021-08-26_115","2021-08-31","2021-09-01","3463","2021-08-26","IP3463","Pea Sprouts",864,1245,42,249,"no"
"R3464",118,"LOT3464 2022-08-01_118","2022-08-19","2022-08-19","3464","2022-08-01","IP3464","Pea Sprouts",881,1276,43,255,"no"
"R3465",102,"LOT3465 2022-11-24_102","2022-12-17","2022-12-18","3465","2022-11-24","IP3465","Onion Sprouts",790,1107,37,222,"no"
"R3466",12,"LOT3466 2021-12-05_12","2021-12-14","2021-12-14","3466","2021-12-05","IP3466","Mung Bean Sprouts",262,118,5,24,"no"
"R3467",126,"LOT3467 2022-10-26_126","2022-11-17","2022-11-17","3467","2022-10-26","IP3467","Seasame Sprouts",932,1372,46,275,"yes"
"R3468",128,"LOT3468 2022-08-29_128","2022-09-18","2022-09-18","3468","2022-08-29","IP3468","Seasame Sprouts",941,1390,46,278,"yes"
"R3469",69,"LOT3469 2022-02-28_69","2022-03-13","2022-03-13","3469","2022-02-28","IP3469","Pumpkin Seed Sprouts",599,749,25,150,"no"
"R3470",65,"LOT3470 2022-03-03_65","2022-03-15","2022-03-16","3470","2022-03-03","IP3470","Pumpkin Seed Sprouts",575,703,24,141,"no"
"R3471",63,"LOT3471 2023-01-22_63","2023-02-16","2023-02-16","3471","2023-01-22","IP3471","Pumpkin Seed Sprouts",560,676,23,136,"no"
"R3472",13,"LOT3472 2022-04-07_13","2022-04-20","2022-04-21","3472","2022-04-07","IP3472","Mung Bean Sprouts",269,130,5,27,"no"
"R3473",110,"LOT3473 2021-10-06_110","2021-10-13","2021-10-14","3473","2021-10-06","IP3473","Sunflower Sprouts",835,1191,40,238,"no"
"R3474",132,"LOT3474 2022-07-09_132","2022-07-27","2022-07-27","3474","2022-07-09","IP3474","Chickpeas Sprouts",965,1435,48,287,"yes"
"R3475",36,"LOT3475 2022-05-17_36","2022-06-02","2022-06-02","3475","2022-05-17","IP3475","Brocolli Sprouts",406,387,14,78,"no"
"R3476",35,"LOT3476 2022-11-28_35","2022-12-21","2022-12-22","3476","2022-11-28","IP3476","Radish Srpouts",398,371,13,75,"no"
"R3477",23,"LOT3477 2022-01-03_23","2022-01-13","2022-01-14","3477","2022-01-03","IP3477","Red Clover Sprouts",329,243,9,49,"no"
"R3478",97,"LOT3478 2022-11-08_97","2022-12-01","2022-12-01","3478","2022-11-08","IP3478","Onion Sprouts",761,1053,35,211,"no"
"R3479",37,"LOT3479 2022-07-19_37","2022-08-06","2022-08-06","3479","2022-07-19","IP3479","Brocolli Sprouts",413,400,14,81,"no"
"R3480",118,"LOT3480 2021-09-04_118","2021-09-09","2021-09-10","3480","2021-09-04","IP3480","Pea Sprouts",880,1276,43,255,"no"
"R3481",11,"LOT3481 2021-09-01_11","2021-09-06","2021-09-07","3481","2021-09-01","IP3481","Mung Bean Sprouts",259,111,5,23,"no"
"R3482",50,"LOT3482 2022-03-06_50","2022-03-18","2022-03-19","3482","2022-03-06","IP3482","Wheatgrass Sprouts",486,536,18,108,"no"
"R3483",114,"LOT3483 2022-11-01_114","2022-11-23","2022-11-23","3483","2022-11-01","IP3483","Pea Sprouts",859,1236,41,247,"no"
"R3484",57,"LOT3484 2023-02-21_57","2023-03-20","2023-03-20","3484","2023-02-21","IP3484","Kidney-Bean Sprouts",527,613,21,123,"no"
"R3485",27,"LOT3485 2022-09-25_27","2022-10-16","2022-10-16","3485","2022-09-25","IP3485","Radish Srpouts",350,283,10,57,"no"
"R3486",49,"LOT3486 2021-11-29_49","2021-12-08","2021-12-09","3486","2021-11-29","IP3486","Wheatgrass Sprouts",482,530,18,107,"no"
"R3487",88,"LOT3487 2023-01-04_88","2023-01-29","2023-01-29","3487","2023-01-04","IP3487","Green Lentil Sprouts",709,956,32,191,"no"
"R3488",108,"LOT3488 2022-04-03_108","2022-04-17","2022-04-18","3488","2022-04-03","IP3488","Sunflower Sprouts",827,1176,39,235,"no"
"R3489",88,"LOT3489 2023-02-13_88","2023-03-11","2023-03-11","3489","2023-02-13","IP3489","Green Lentil Sprouts",709,955,32,191,"no"
"R3490",126,"LOT3490 2022-05-15_126","2022-05-30","2022-05-31","3490","2022-05-15","IP3490","Seasame Sprouts",931,1371,46,274,"yes"
"R3491",82,"LOT3491 2022-12-14_82","2023-01-07","2023-01-07","3491","2022-12-14","IP3491","Soybean Sprouts",670,882,30,177,"no"
"R3492",87,"LOT3492 2023-01-05_87","2023-01-30","2023-01-30","3492","2023-01-05","IP3492","Green Lentil Sprouts",702,941,32,189,"no"
"R3493",73,"LOT3493 2022-04-09_73","2022-04-23","2022-04-23","3493","2022-04-09","IP3493","Mustard Sprouts",618,785,27,157,"no"
"R3494",6,"LOT3494 2022-05-04_6","2022-05-19","2022-05-20","3494","2022-05-04","IP3494","Alfalfa Sprouts",227,51,3,11,"no"
"R3495",105,"LOT3495 2022-07-30_105","2022-08-17","2022-08-17","3495","2022-07-30","IP3495","Sunflower Sprouts",808,1140,38,228,"no"
"R3496",67,"LOT3496 2022-01-08_67","2022-01-19","2022-01-19","3496","2022-01-08","IP3496","Pumpkin Seed Sprouts",588,728,25,146,"no"
"R3497",64,"LOT3497 2022-04-21_64","2022-05-05","2022-05-06","3497","2022-04-21","IP3497","Pumpkin Seed Sprouts",570,695,24,139,"no"
"R3498",117,"LOT3498 2022-11-27_117","2022-12-20","2022-12-20","3498","2022-11-27","IP3498","Pea Sprouts",878,1271,43,254,"no"
"R3499",55,"LOT3499 2022-05-12_55","2022-05-27","2022-05-28","3499","2022-05-12","IP3499","Kidney-Bean Sprouts",517,596,20,120,"no"
"R3500",97,"LOT3500 2022-09-06_97","2022-09-26","2022-09-26","3500","2022-09-06","IP3500","Onion Sprouts",761,1052,35,211,"no"
"R3501",51,"LOT3501 2022-05-29_51","2022-06-14","2022-06-15","3501","2022-05-29","IP3501","Wheatgrass Sprouts",490,545,19,110,"no"
"R3502",14,"LOT3502 2021-08-03_14","2021-08-07","2021-08-08","3502","2021-08-03","IP3502","Mung Bean Sprouts",278,147,6,30,"no"
"R3503",29,"LOT3503 2022-12-17_29","2023-01-10","2023-01-10","3503","2022-12-17","IP3503","Radish Srpouts",365,311,11,63,"no"
"R3504",56,"LOT3504 2022-07-06_56","2022-07-23","2022-07-23","3504","2022-07-06","IP3504","Kidney-Bean Sprouts",522,604,21,121,"no"
"R3505",119,"LOT3505 2023-01-09_119","2023-02-03","2023-02-03","3505","2023-01-09","IP3505","Pea Sprouts",890,1293,43,259,"no"
"R3506",96,"LOT3506 2023-01-25_96","2023-02-19","2023-02-19","3506","2023-01-25","IP3506","Onion Sprouts",754,1040,35,208,"no"
"R3507",51,"LOT3507 2022-09-23_51","2022-10-14","2022-10-14","3507","2022-09-23","IP3507","Wheatgrass Sprouts",492,548,19,110,"no"
"R3508",72,"LOT3508 2021-10-11_72","2021-10-18","2021-10-19","3508","2021-10-11","IP3508","Mustard Sprouts",612,773,26,155,"no"
"R3509",111,"LOT3509 2022-01-16_111","2022-01-27","2022-01-27","3509","2022-01-16","IP3509","Sunflower Sprouts",843,1206,40,241,"no"
"R3510",92,"LOT3510 2022-10-19_92","2022-11-10","2022-11-10","3510","2022-10-19","IP3510","Green Lentil Sprouts",731,996,34,200,"no"
"R3511",112,"LOT3511 2021-12-09_112","2021-12-18","2021-12-19","3511","2021-12-09","IP3511","Sunflower Sprouts",845,1210,41,242,"no"
"R3512",138,"LOT3512 2021-08-06_138","2021-08-10","2021-08-11","3512","2021-08-06","IP3512","Chickpeas Sprouts",1000,1499,50,300,"yes"
"R3513",121,"LOT3513 2022-08-19_121","2022-09-08","2022-09-08","3513","2022-08-19","IP3513","Pea Sprouts",900,1312,44,263,"no"
"R3514",26,"LOT3514 2022-01-02_26","2022-01-12","2022-01-13","3514","2022-01-02","IP3514","Red Clover Sprouts",347,276,10,56,"no"
"R3515",127,"LOT3515 2022-12-20_127","2023-01-13","2023-01-13","3515","2022-12-20","IP3515","Seasame Sprouts",936,1381,46,276,"yes"
"R3516",29,"LOT3516 2022-06-19_29","2022-07-06","2022-07-06","3516","2022-06-19","IP3516","Radish Srpouts",362,305,11,62,"no"
"R3517",9,"LOT3517 2022-11-14_9","2022-12-07","2022-12-07","3517","2022-11-14","IP3517","Alfalfa Sprouts",247,90,4,19,"no"
"R3518",97,"LOT3518 2022-09-26_97","2022-10-17","2022-10-17","3518","2022-09-26","IP3518","Onion Sprouts",761,1053,35,211,"no"
"R3519",76,"LOT3519 2022-11-21_76","2022-12-14","2022-12-14","3519","2022-11-21","IP3519","Mustard Sprouts",640,825,28,165,"no"
"R3520",73,"LOT3520 2023-02-07_73","2023-03-05","2023-03-05","3520","2023-02-07","IP3520","Mustard Sprouts",621,791,27,158,"no"
"R3521",124,"LOT3521 2022-03-27_124","2022-04-09","2022-04-10","3521","2022-03-27","IP3521","Seasame Sprouts",918,1346,45,269,"no"
"R3522",91,"LOT3522 2022-02-12_91","2022-02-24","2022-02-25","3522","2022-02-12","IP3522","Green Lentil Sprouts",725,985,33,197,"no"
"R3523",40,"LOT3523 2022-10-09_40","2022-10-30","2022-10-30","3523","2022-10-09","IP3523","Brocolli Sprouts",429,431,15,87,"no"
"R3524",57,"LOT3524 2021-11-02_57","2021-11-09","2021-11-10","3524","2021-11-02","IP3524","Kidney-Bean Sprouts",529,617,21,124,"no"
"R3525",84,"LOT3525 2021-12-02_84","2021-12-11","2021-12-12","3525","2021-12-02","IP3525","Soybean Sprouts",683,905,31,181,"no"
"R3526",93,"LOT3526 2022-03-22_93","2022-04-05","2022-04-05","3526","2022-03-22","IP3526","Green Lentil Sprouts",737,1008,34,202,"no"
"R3527",57,"LOT3527 2022-12-06_57","2022-12-29","2022-12-30","3527","2022-12-06","IP3527","Kidney-Bean Sprouts",527,613,21,123,"no"
"R3528",131,"LOT3528 2022-06-09_131","2022-06-26","2022-06-26","3528","2022-06-09","IP3528","Chickpeas Sprouts",959,1423,47,285,"yes"
"R3529",137,"LOT3529 2022-06-08_137","2022-06-24","2022-06-25","3529","2022-06-08","IP3529","Chickpeas Sprouts",996,1492,50,298,"yes"
"R3530",87,"LOT3530 2022-04-04_87","2022-04-18","2022-04-18","3530","2022-04-04","IP3530","Soybean Sprouts",700,937,32,188,"no"
"R3531",61,"LOT3531 2022-02-12_61","2022-02-24","2022-02-24","3531","2022-02-12","IP3531","Pumpkin Seed Sprouts",551,659,22,132,"no"
"R3532",49,"LOT3532 2022-03-23_49","2022-04-05","2022-04-05","3532","2022-03-23","IP3532","Wheatgrass Sprouts",482,530,18,107,"no"
"R3533",115,"LOT3533 2022-04-11_115","2022-04-25","2022-04-25","3533","2022-04-11","IP3533","Pea Sprouts",868,1252,42,251,"no"
"R3534",68,"LOT3534 2021-12-01_68","2021-12-09","2021-12-10","3534","2021-12-01","IP3534","Pumpkin Seed Sprouts",591,733,25,147,"no"
"R3535",35,"LOT3535 2022-03-19_35","2022-04-01","2022-04-02","3535","2022-03-19","IP3535","Radish Srpouts",399,374,13,75,"no"
"R3536",119,"LOT3536 2021-12-12_119","2021-12-22","2021-12-22","3536","2021-12-12","IP3536","Pea Sprouts",887,1288,43,258,"no"
"R3537",87,"LOT3537 2022-08-04_87","2022-08-23","2022-08-23","3537","2022-08-04","IP3537","Soybean Sprouts",700,938,32,188,"no"
"R3538",52,"LOT3538 2022-12-11_52","2023-01-04","2023-01-04","3538","2022-12-11","IP3538","Kidney-Bean Sprouts",501,564,19,113,"no"
"R3539",113,"LOT3539 2022-10-20_113","2022-11-11","2022-11-11","3539","2022-10-20","IP3539","Pea Sprouts",853,1225,41,245,"no"
"R3540",83,"LOT3540 2022-05-28_83","2022-06-13","2022-06-14","3540","2022-05-28","IP3540","Soybean Sprouts",679,898,30,180,"no"
"R3541",16,"LOT3541 2022-03-01_16","2022-03-14","2022-03-15","3541","2022-03-01","IP3541","Mung Bean Sprouts",287,164,6,34,"no"
"R3542",110,"LOT3542 2021-08-27_110","2021-09-01","2021-09-02","3542","2021-08-27","IP3542","Sunflower Sprouts",839,1197,40,240,"no"
"R3543",33,"LOT3543 2023-03-01_33","2023-03-28","2023-03-28","3543","2023-03-01","IP3543","Radish Srpouts",385,348,12,70,"no"
"R3544",61,"LOT3544 2022-01-24_61","2022-02-04","2022-02-05","3544","2022-01-24","IP3544","Pumpkin Seed Sprouts",553,662,23,133,"no"
"R3545",104,"LOT3545 2022-12-23_104","2023-01-16","2023-01-16","3545","2022-12-23","IP3545","Sunflower Sprouts",801,1128,38,226,"no"
"R3546",103,"LOT3546 2022-06-13_103","2022-06-30","2022-06-30","3546","2022-06-13","IP3546","Onion Sprouts",797,1119,38,224,"no"
"R3547",47,"LOT3547 2022-01-11_47","2022-01-21","2022-01-22","3547","2022-01-11","IP3547","Wheatgrass Sprouts",466,499,17,100,"no"
"R3548",108,"LOT3548 2022-03-17_108","2022-03-30","2022-03-30","3548","2022-03-17","IP3548","Sunflower Sprouts",826,1173,39,235,"no"
"R3549",33,"LOT3549 2023-02-26_33","2023-03-24","2023-03-24","3549","2023-02-26","IP3549","Radish Srpouts",387,351,12,71,"no"
"R3550",115,"LOT3550 2021-12-16_115","2021-12-25","2021-12-26","3550","2021-12-16","IP3550","Pea Sprouts",868,1254,42,251,"no"
"R3551",52,"LOT3551 2022-04-20_52","2022-05-04","2022-05-05","3551","2022-04-20","IP3551","Wheatgrass Sprouts",495,554,19,111,"no"
"R3552",109,"LOT3552 2021-10-04_109","2021-10-10","2021-10-11","3552","2021-10-04","IP3552","Sunflower Sprouts",833,1187,40,238,"no"
"R3553",78,"LOT3553 2022-05-23_78","2022-06-08","2022-06-08","3553","2022-05-23","IP3553","Soybean Sprouts",652,848,29,170,"no"
"R3554",60,"LOT3554 2022-04-02_60","2022-04-16","2022-04-17","3554","2022-04-02","IP3554","Kidney-Bean Sprouts",546,649,22,130,"no"
"R3555",63,"LOT3555 2022-01-16_63","2022-01-26","2022-01-27","3555","2022-01-16","IP3555","Pumpkin Seed Sprouts",564,683,23,137,"no"
"R3556",95,"LOT3556 2021-09-20_95","2021-09-26","2021-09-27","3556","2021-09-20","IP3556","Green Lentil Sprouts",748,1027,35,206,"no"
"R3557",108,"LOT3557 2022-03-27_108","2022-04-10","2022-04-10","3557","2022-03-27","IP3557","Sunflower Sprouts",825,1172,39,235,"no"
"R3558",49,"LOT3558 2022-01-30_49","2022-02-10","2022-02-10","3558","2022-01-30","IP3558","Wheatgrass Sprouts",482,530,18,106,"no"
"R3559",21,"LOT3559 2021-12-24_21","2022-01-03","2022-01-04","3559","2021-12-24","IP3559","Red Clover Sprouts",317,221,8,45,"no"
"R3560",25,"LOT3560 2023-01-21_25","2023-02-15","2023-02-16","3560","2023-01-21","IP3560","Red Clover Sprouts",339,261,10,53,"no"
"R3561",40,"LOT3561 2022-06-10_40","2022-06-27","2022-06-27","3561","2022-06-10","IP3561","Brocolli Sprouts",426,424,15,85,"no"
"R3562",67,"LOT3562 2022-10-18_67","2022-11-09","2022-11-09","3562","2022-10-18","IP3562","Pumpkin Seed Sprouts",584,721,25,145,"no"
"R3563",57,"LOT3563 2021-09-09_57","2021-09-14","2021-09-15","3563","2021-09-09","IP3563","Kidney-Bean Sprouts",526,612,21,123,"no"
"R3564",51,"LOT3564 2023-01-23_51","2023-02-18","2023-02-18","3564","2023-01-23","IP3564","Wheatgrass Sprouts",492,548,19,110,"no"
"R3565",112,"LOT3565 2022-01-08_112","2022-01-18","2022-01-19","3565","2022-01-08","IP3565","Sunflower Sprouts",850,1219,41,244,"no"
"R3566",54,"LOT3566 2022-03-03_54","2022-03-15","2022-03-16","3566","2022-03-03","IP3566","Kidney-Bean Sprouts",507,576,20,116,"no"
"R3567",52,"LOT3567 2022-03-14_52","2022-03-27","2022-03-28","3567","2022-03-14","IP3567","Wheatgrass Sprouts",496,556,19,112,"no"
"R3568",4,"LOT3568 2023-01-16_4","2023-02-11","2023-02-11","3568","2023-01-16","IP3568","Alfalfa Sprouts",217,33,2,7,"no"
"R3569",104,"LOT3569 2022-11-05_104","2022-11-27","2022-11-27","3569","2022-11-05","IP3569","Sunflower Sprouts",801,1127,38,226,"no"
"R3570",114,"LOT3570 2022-12-13_114","2023-01-06","2023-01-06","3570","2022-12-13","IP3570","Pea Sprouts",859,1235,41,247,"no"
"R3571",106,"LOT3571 2022-07-11_106","2022-07-29","2022-07-29","3571","2022-07-11","IP3571","Sunflower Sprouts",813,1150,39,230,"no"
"R3572",42,"LOT3572 2022-07-18_42","2022-08-05","2022-08-06","3572","2022-07-18","IP3572","Brocolli Sprouts",437,445,16,90,"no"
"R3573",118,"LOT3573 2023-02-27_118","2023-03-26","2023-03-26","3573","2023-02-27","IP3573","Pea Sprouts",883,1280,43,256,"no"
"R3574",116,"LOT3574 2022-07-21_116","2022-08-08","2022-08-08","3574","2022-07-21","IP3574","Pea Sprouts",874,1265,42,253,"no"
"R3575",89,"LOT3575 2022-01-05_89","2022-01-16","2022-01-16","3575","2022-01-05","IP3575","Green Lentil Sprouts",716,968,33,194,"no"
"R3576",104,"LOT3576 2023-01-22_104","2023-02-16","2023-02-16","3576","2023-01-22","IP3576","Onion Sprouts",799,1123,38,225,"no"
"R3577",115,"LOT3577 2021-11-19_115","2021-11-28","2021-11-28","3577","2021-11-19","IP3577","Pea Sprouts",869,1254,42,251,"no"
"R3578",2,"LOT3578 2022-12-27_2","2023-01-21","2023-01-21","3578","2022-12-27","IP3578","Alfalfa Sprouts",204,9,1,3,"no"
"R3579",136,"LOT3579 2021-08-21_136","2021-08-26","2021-08-27","3579","2021-08-21","IP3579","Chickpeas Sprouts",990,1481,49,296,"yes"
"R3580",95,"LOT3580 2022-08-05_95","2022-08-24","2022-08-24","3580","2022-08-05","IP3580","Onion Sprouts",751,1033,35,207,"no"
"R3581",34,"LOT3581 2022-06-26_34","2022-07-13","2022-07-14","3581","2022-06-26","IP3581","Radish Srpouts",390,357,13,72,"no"
"R3582",30,"LOT3582 2022-03-04_30","2022-03-17","2022-03-18","3582","2022-03-04","IP3582","Radish Srpouts",370,320,11,65,"no"
"R3583",22,"LOT3583 2023-02-04_22","2023-03-02","2023-03-02","3583","2023-02-04","IP3583","Red Clover Sprouts",323,232,9,47,"no"
"R3584",97,"LOT3584 2022-07-03_97","2022-07-21","2022-07-21","3584","2022-07-03","IP3584","Onion Sprouts",758,1046,35,209,"no"
"R3585",110,"LOT3585 2021-08-16_110","2021-08-21","2021-08-22","3585","2021-08-16","IP3585","Sunflower Sprouts",834,1189,40,238,"no"
"R3586",64,"LOT3586 2022-01-13_64","2022-01-23","2022-01-24","3586","2022-01-13","IP3586","Pumpkin Seed Sprouts",568,690,24,138,"no"
"R3587",91,"LOT3587 2021-10-17_91","2021-10-24","2021-10-25","3587","2021-10-17","IP3587","Green Lentil Sprouts",727,989,33,198,"no"
"R3588",62,"LOT3588 2022-12-29_62","2023-01-22","2023-01-22","3588","2022-12-29","IP3588","Pumpkin Seed Sprouts",554,665,23,133,"no"
"R3589",21,"LOT3589 2022-06-17_21","2022-07-04","2022-07-04","3589","2022-06-17","IP3589","Red Clover Sprouts",316,218,8,44,"no"
"R3590",114,"LOT3590 2022-01-30_114","2022-02-11","2022-02-11","3590","2022-01-30","IP3590","Pea Sprouts",860,1238,41,248,"no"
"R3591",88,"LOT3591 2022-06-08_88","2022-06-25","2022-06-25","3591","2022-06-08","IP3591","Green Lentil Sprouts",710,956,32,191,"no"
"R3592",107,"LOT3592 2022-09-03_107","2022-09-23","2022-09-23","3592","2022-09-03","IP3592","Sunflower Sprouts",819,1161,39,232,"no"
"R3593",18,"LOT3593 2022-09-21_18","2022-10-12","2022-10-12","3593","2022-09-21","IP3593","Mung Bean Sprouts",300,188,7,38,"no"
"R3594",135,"LOT3594 2021-12-31_135","2022-01-10","2022-01-11","3594","2021-12-31","IP3594","Chickpeas Sprouts",984,1471,49,294,"yes"
"R3595",70,"LOT3595 2021-08-16_70","2021-08-21","2021-08-22","3595","2021-08-16","IP3595","Mustard Sprouts",603,756,26,152,"no"
"R3596",60,"LOT3596 2021-11-26_60","2021-12-04","2021-12-05","3596","2021-11-26","IP3596","Kidney-Bean Sprouts",544,645,22,130,"no"
"R3597",131,"LOT3597 2021-12-30_131","2022-01-09","2022-01-10","3597","2021-12-30","IP3597","Chickpeas Sprouts",956,1418,47,284,"yes"
